Model,Beta,SE,PValue,N_Total,Pipeline,Estimand,y,ci_lo,ci_hi
DiD (Simple),-.3961690662625235,.3541457884381577,.2633389706755518,4962,Diff-in-Diff,ATT,1,-1.090294811601312,.2979566790762655
DiD (Full Interactive),-.2733672548334881,.3679475603264172,.4575461193574349,4962,Diff-in-Diff,ATT,2,-.9945444730732658,.4478099634062895
DiD (Full Interactive FE),-.2733672550384045,.3674270724539437,.4569092201004546,4962,Diff-in-Diff,ATT,3,-.993524317048134,.4467898069713251
RCT (ITT benchmark),-.1426285073512835,.2467180712408484,.5632384207828822,2961,RCT,ITT,,-.6261959269833464,.3409389122807793
